Namibia,Household,897751939,3604,668.27,
Iceland,Baby Food,599480426,8435,255.28,
Russia,Meat,538911855,4848,421.89,
Moldova,Meat,459845054,7225,421.89,
Malta,Cereal,626391351,1975,205.70,
Indonesia,Meat,472974574,2542,421.89,
Djibouti,Household,854331052,4398,668.27,
Greece,Household,895509612,49,668.27,
Cameroon,Cosmetics,241871583,4031,437.20,
Nigeria,Cosmetics,409090793,7911,437.20,
Senegal,Fruits,733153569,5288,9.33,
Afghanistan,Cosmetics,620358741,6792,437.20,
India,Vegetables,897317636,5084,154.06,
Lebanon,Vegetables,660954082,9855,154.06,
Turkey,Office Supplies,428504407,2831,651.21,
Iraq,Cosmetics,787517440,2766,437.20,
Rwanda,Personal Care,145854508,445,81.73,
Ukraine,Baby Food,581689441,3687,255.28,
Finland,Office Supplies,193508565,2339,651.21,
South Sudan,Beverages,750110709,3283,47.45,
Antigua and Barbuda,Fruits,940607202,5428,9.33,
Kuwait,Personal Care,424421870,4718,81.73,
United Kingdom,Office Supplies,281291043,9125,651.21,
Saint Kitts and Nevis,Personal Care,761263549,3656,81.73,
Antigua and Barbuda,Personal Care,834700715,5345,81.73,
Saint Lucia,Cosmetics,442276370,8261,437.20,
Kuwait,Personal Care,944976842,8502,81.73,
South Sudan,Office Supplies,174100959,9197,651.21,
Tunisia,Snacks,981260049,5509,152.58,
Yemen,Cereal,888377940,9629,205.70,
Guinea,Vegetables,637690961,5781,154.06,
Tuvalu,Household,141747939,5220,668.27,
South Korea,Cereal,733410203,1232,205.70,
San Marino,Meat,215851581,4134,421.89,
Trinidad and Tobago,Household,512558400,6276,668.27,
Kosovo,Meat,917329490,7036,421.89,
Hungary,Personal Care,344276177,7826,81.73,
Botswana,Personal Care,477822291,7089,81.73,
Turkey,Beverages,822704160,5298,47.45,
Serbia,Cosmetics,953970611,9958,437.20,
Guatemala,Personal Care,966982972,605,81.73,
United Arab Emirates,Household,127415072,3806,668.27,
Samoa,Vegetables,921253240,8161,154.06,
Botswana,Beverages,504796302,9298,47.45,
Bahrain,Office Supplies,154655587,4880,651.21,
Saint Vincent and the Grenadines,Snacks,317754924,9598,152.58,
Pakistan,Baby Food,161330640,176,255.28,
Hungary,Beverages,722931563,370,47.45,
Poland,Cereal,860419023,5964,205.70,
Tunisia,Office Supplies,401966845,9777,651.21,
Lithuania,Fruits,596061360,6657,9.33,
Samoa,Vegetables,961501395,8484,154.06,
Sudan,Beverages,637398278,9170,47.45,
Portugal,Personal Care,633175837,9656,81.73,
Fiji,Vegetables,678570401,2916,154.06,
Tanzania,Meat,573630797,8955,421.89,
Sao Tome and Principe,Cosmetics,638718354,9810,437.20,
Cape Verde,Meat,364506900,4547,421.89,
Lebanon,Vegetables,661982762,4265,154.06,
Greenland,Personal Care,712444770,7094,81.73,
Guinea-Bissau,Baby Food,217504251,3196,255.28,
Georgia,Meat,749085032,9762,421.89,
Jamaica,Meat,799423444,6017,421.89,
Bulgaria,Snacks,731068313,8215,152.58,
Kazakhstan,Household,526880967,4641,668.27,
Rwanda,Clothes,240035235,615,109.28,
Grenada,Cosmetics,444017446,3484,437.20,
Honduras,Office Supplies,882626426,7628,651.21,
Mongolia,Office Supplies,919973504,9459,651.21,
Belize,Meat,890482509,2418,421.89,
United States of America,Meat,748889768,1979,421.89,
South Africa,Meat,520244109,648,421.89,
Austria,Vegetables,749906861,2960,154.06,
Marshall Islands,Snacks,253551852,482,152.58,
Sierra Leone,Household,167165410,6814,668.27,
Romania,Meat,797046363,2586,421.89,
Malaysia,Clothes,269806039,457,109.28,
Hungary,Cosmetics,382368266,122,437.20,
New Zealand,Beverages,751969373,3303,47.45,
Mozambique,Office Supplies,166158187,8755,651.21,
Namibia,Beverages,632796037,7264,47.45,
Tunisia,Personal Care,630056750,6649,81.73,
Somalia,Office Supplies,956426656,6756,651.21,
Denmark,Personal Care,680704581,4467,81.73,
Solomon Islands,Beverages,292001855,8693,47.45,
Vanuatu,Vegetables,349742305,5375,154.06,
Singapore,Meat,133662259,2488,421.89,
Luxembourg,Fruits,793810546,5036,9.33,
Australia,Cereal,400548493,55,205.70,
Brunei,Household,694549930,1613,668.27,
Papua New Guinea,Vegetables,336801183,5809,154.06,
Romania,Personal Care,758601081,5772,81.73,
Kyrgyzstan,Personal Care,311560952,6664,81.73,
Chad,Clothes,117604625,677,109.28,
Somalia,Cereal,918968427,2034,205.70,
Togo,Clothes,828201186,1990,109.28,
Mali,Household,278164231,3832,668.27,
San Marino,Snacks,672031390,7877,152.58,
Croatia,Baby Food,333288991,6474,255.28,
Taiwan,Baby Food,355735862,9002,255.28,
Barbados,Meat,553483331,6872,421.89,
Equatorial Guinea,Cosmetics,810955226,8527,437.20,
Guatemala,Vegetables,632887876,4441,154.06,
United Kingdom,Household,494330108,2119,668.27,
Equatorial Guinea,Vegetables,490643250,1096,154.06,
Tanzania,Snacks,787501132,7940,152.58,
Ukraine,Fruits,270890080,1249,9.33,
Canada,Snacks,597108924,6655,152.58,
Eritrea,Office Supplies,342768990,1816,651.21,
Georgia,Fruits,854794108,1427,9.33,
Poland,Cereal,400420606,2210,205.70,
Mexico,Clothes,917197310,7921,109.28,
Papua New Guinea,Baby Food,362985551,4346,255.28,
Ukraine,Meat,365959155,4301,421.89,
Niger,Beverages,374604451,2636,47.45,
New Zealand,Household,807720267,1231,668.27,
Nigeria,Cosmetics,804417932,3997,437.20,
Madagascar,Beverages,474121272,1875,47.45,
Kazakhstan,Baby Food,446566617,7841,255.28,
Kuwait,Clothes,521802794,1897,109.28,
Gabon,Fruits,120191133,6082,9.33,
El Salvador,Personal Care,532405459,9462,81.73,
Sweden,Personal Care,869432103,3135,81.73,
Angola,Vegetables,312569892,5232,154.06,
Sri Lanka,Office Supplies,363430154,5914,651.21,
Cyprus,Clothes,793936717,2372,109.28,
Honduras,Snacks,996325910,3832,152.58,
Ethiopia,Meat,433146560,6547,421.89,
Denmark,Beverages,887259995,8804,47.45,
Iceland,Household,611840045,5921,668.27,
Liberia,Cereal,180373036,5245,205.70,
South Africa,Meat,236657798,1156,421.89,
Mali,Beverages,144805657,67,47.45,
Egypt,Personal Care,239240443,5418,81.73,
Moldova,Meat,474698483,2685,421.89,
Montenegro,Personal Care,876228606,4371,81.73,
Nauru,Household,189192140,5013,668.27,
Sri Lanka,Household,829262912,6179,668.27,
Kiribati,Cosmetics,332427251,1466,437.20,
Senegal,Baby Food,804983985,1505,255.28,
Iran,Office Supplies,373544442,8956,651.21,
Grenada,Cosmetics,835032451,3513,437.20,
Democratic Republic of the Congo,Meat,906684339,6899,421.89,
Vatican City,Snacks,276048934,7869,152.58,
South Sudan,Vegetables,950987565,7208,154.06,
North Korea,Vegetables,509674060,2735,154.06,
Jordan,Household,650594747,4298,668.27,
Sao Tome and Principe,Meat,442548453,8777,421.89,
Romania,Clothes,374646508,5082,109.28,
Seychelles,Fruits,106312739,9157,9.33,
Gabon,Clothes,717283475,8975,109.28,
Tunisia,Cereal,657607543,9540,205.70,
France,Household,697646272,7890,668.27,
Montenegro,Fruits,778073489,8091,9.33,
Mali,Cosmetics,459875524,6242,437.20,
Taiwan,Snacks,274351203,5472,152.58,
Fiji,Meat,373111855,944,421.89,
Lebanon,Personal Care,978081309,4849,81.73,
Guinea,Baby Food,131495893,1412,255.28,
Sierra Leone,Baby Food,445904433,1886,255.28,
Honduras,Office Supplies,554168260,9558,651.21,
Greenland,Vegetables,959461200,4745,154.06,
Indonesia,Meat,885269582,9797,421.89,
Togo,Clothes,525392234,4092,109.28,
Mauritius,Personal Care,593940484,9043,81.73,
Sierra Leone,Snacks,975338160,3091,152.58,
Cambodia,Beverages,274321591,6710,47.45,
Jamaica,Vegetables,765939605,7405,154.06,
Kiribati,Vegetables,745553529,4712,154.06,
Dominican Republic,Vegetables,378837192,5198,154.06,
Tajikistan,Office Supplies,351776921,7463,651.21,
Netherlands,Beverages,520671546,7136,47.45,
Iceland,Household,362132394,1878,668.27,
Taiwan,Beverages,323083293,6381,47.45,
Gabon,Fruits,470760571,7369,9.33,
Guinea-Bissau,Snacks,942713057,8598,152.58,
United States of America,Cereal,596802079,5852,205.70,
Rwanda,Snacks,161201465,1950,152.58,
Cyprus,Household,884397542,1741,668.27,
Brunei,Cosmetics,485189139,7103,437.20,
Seychelles,Personal Care,802687585,1949,81.73,
Jordan,Office Supplies,146316707,7220,651.21,
Pakistan,Snacks,945812833,5890,152.58,
Barbados,Fruits,301224792,7965,9.33,
Comoros,Meat,332913911,5479,421.89,
The Bahamas,Clothes,531554019,7501,109.28,
South Sudan,Baby Food,908131444,5130,255.28,
Nigeria,Cosmetics,643945014,6494,437.20,
Ukraine,Beverages,340606057,1756,47.45,
France,Cosmetics,670038402,8108,437.20,
Burundi,Office Supplies,124478375,4772,651.21,
Syria,Vegetables,866474807,8005,154.06,
Botswana,Fruits,178889024,6092,9.33,
Papua New Guinea,Snacks,814894855,4351,152.58,
Kazakhstan,Cosmetics,647978627,130,437.20,
Jordan,Clothes,321939170,7809,109.28,
Dominican Republic,Personal Care,100887811,3800,81.73,
Namibia,Beverages,319248378,1544,47.45,
Hungary,Household,931757199,6516,668.27,
Malaysia,Snacks,163463103,1220,152.58,
Burundi,Cosmetics,359727418,192,437.20,
Estonia,Clothes,336223971,5000,109.28,
Malaysia,Beverages,328939092,9242,47.45,
Bosnia and Herzegovina,Household,644171607,3548,668.27,
Finland,Fruits,308532845,580,9.33,
Botswana,Fruits,176774585,383,9.33,
Tanzania,Office Supplies,218946635,30,651.21,
